,identifier,noise,LAML1,NJ,LAML2
0,c30_noise0.0_rep0,0.0,0.27835051546391754,0.32989690721649484,0.27835051546391754
1,c30_noise0.0_rep1,0.0,0.18556701030927836,0.24742268041237114,0.16494845360824742
2,c30_noise0.0_rep2,0.0,0.25773195876288657,0.3402061855670103,0.23711340206185566
3,c30_noise0.0_rep3,0.0,0.1958762886597938,0.26804123711340205,0.20618556701030927
4,c30_noise0.0_rep4,0.0,0.16494845360824742,0.24742268041237114,0.15463917525773196
5,c30_noise0.0_rep5,0.0,0.24742268041237114,0.28865979381443296,0.24742268041237114
6,c30_noise0.0_rep6,0.0,0.18556701030927836,0.26804123711340205,0.18556701030927836
7,c30_noise0.0_rep7,0.0,0.4329896907216495,0.4639175257731959,0.3917525773195876
8,c30_noise0.0_rep8,0.0,0.28865979381443296,0.32989690721649484,0.21649484536082475
9,c30_noise0.0_rep9,0.0,0.29896907216494845,0.38144329896907214,0.26804123711340205
10,c30_noise0.0_rep10,0.0,0.4020618556701031,0.5463917525773195,0.4536082474226804
11,c30_noise0.0_rep11,0.0,0.23711340206185566,0.4020618556701031,0.25773195876288657
12,c30_noise0.0_rep12,0.0,0.09278350515463918,0.16494845360824742,0.09278350515463918
13,c30_noise0.0_rep13,0.0,0.3402061855670103,0.4639175257731959,0.36082474226804123
14,c30_noise0.0_rep14,0.0,0.27835051546391754,0.3711340206185567,0.21649484536082475
15,c30_noise0.0_rep15,0.0,0.2268041237113402,0.28865979381443296,0.21649484536082475
16,c30_noise0.0_rep16,0.0,0.41237113402061853,0.5154639175257731,0.4329896907216495
17,c30_noise0.0_rep17,0.0,0.17525773195876287,0.24742268041237114,0.1134020618556701
18,c30_noise0.0_rep18,0.0,0.20618556701030927,0.29896907216494845,0.18556701030927836
19,c30_noise0.0_rep19,0.0,0.2268041237113402,0.35051546391752575,0.25773195876288657
20,c30_noise0.0_rep20,0.0,0.13402061855670103,0.18556701030927836,0.09278350515463918
21,c30_noise0.0_rep21,0.0,0.13402061855670103,0.13402061855670103,0.12371134020618557
22,c30_noise0.0_rep22,0.0,0.44329896907216493,0.4536082474226804,0.4329896907216495
23,c30_noise0.0_rep23,0.0,0.20618556701030927,0.36082474226804123,0.16494845360824742
24,c30_noise0.0_rep24,0.0,0.12371134020618557,0.21649484536082475,0.15463917525773196
25,c30_noise0.0_rep25,0.0,0.35051546391752575,0.44329896907216493,0.3402061855670103
26,c30_noise0.0_rep26,0.0,0.24742268041237114,0.26804123711340205,0.20618556701030927
27,c30_noise0.0_rep27,0.0,0.41237113402061853,0.4742268041237113,0.4020618556701031
28,c30_noise0.0_rep28,0.0,0.18556701030927836,0.29896907216494845,0.18556701030927836
29,c30_noise0.0_rep29,0.0,0.36082474226804123,0.44329896907216493,0.35051546391752575
30,c30_noise0.0_rep30,0.0,0.18556701030927836,0.31958762886597936,0.18556701030927836
31,c30_noise0.0_rep31,0.0,0.1958762886597938,0.38144329896907214,0.1958762886597938
32,c30_noise0.0_rep32,0.0,0.3917525773195876,0.4329896907216495,0.36082474226804123
33,c30_noise0.0_rep33,0.0,0.18556701030927836,0.25773195876288657,0.17525773195876287
34,c30_noise0.0_rep34,0.0,0.27835051546391754,0.28865979381443296,0.29896907216494845
35,c30_noise0.0_rep35,0.0,0.1958762886597938,0.27835051546391754,0.1958762886597938
36,c30_noise0.0_rep36,0.0,0.20618556701030927,0.30927835051546393,0.18556701030927836
37,c30_noise0.0_rep37,0.0,0.1958762886597938,0.30927835051546393,0.1958762886597938
38,c30_noise0.0_rep38,0.0,0.21649484536082475,0.30927835051546393,0.20618556701030927
39,c30_noise0.0_rep39,0.0,0.5154639175257731,0.6185567010309279,0.5567010309278351
40,c30_noise0.0_rep40,0.0,0.2268041237113402,0.25773195876288657,0.23711340206185566
41,c30_noise0.0_rep41,0.0,0.1958762886597938,0.24742268041237114,0.14432989690721648
42,c30_noise0.0_rep42,0.0,0.29896907216494845,0.422680412371134,0.26804123711340205
43,c30_noise0.0_rep43,0.0,0.27835051546391754,0.29896907216494845,0.2268041237113402
44,c30_noise0.0_rep44,0.0,0.18556701030927836,0.35051546391752575,0.16494845360824742
45,c30_noise0.0_rep45,0.0,0.17525773195876287,0.23711340206185566,0.17525773195876287
46,c30_noise0.0_rep46,0.0,0.4020618556701031,0.4845360824742268,0.3711340206185567
47,c30_noise0.0_rep47,0.0,0.15463917525773196,0.3402061855670103,0.17525773195876287
48,c30_noise0.0_rep48,0.0,0.35051546391752575,0.44329896907216493,0.29896907216494845
49,c30_noise0.0_rep49,0.0,0.1958762886597938,0.30927835051546393,0.18556701030927836
50,c30_noise0.0_rep50,0.0,0.1958762886597938,0.29896907216494845,0.20618556701030927
51,c30_noise0.0_rep51,0.0,0.20618556701030927,0.26804123711340205,0.15463917525773196
52,c30_noise0.0_rep52,0.0,0.17525773195876287,0.21649484536082475,0.15463917525773196
53,c30_noise0.0_rep53,0.0,0.21649484536082475,0.36082474226804123,0.16494845360824742
54,c30_noise0.0_rep54,0.0,0.21649484536082475,0.38144329896907214,0.2268041237113402
55,c30_noise0.0_rep55,0.0,0.1958762886597938,0.27835051546391754,0.15463917525773196
56,c30_noise0.0_rep56,0.0,0.16494845360824742,0.35051546391752575,0.15463917525773196
57,c30_noise0.0_rep57,0.0,0.1958762886597938,0.29896907216494845,0.17525773195876287
58,c30_noise0.0_rep58,0.0,0.29896907216494845,0.4742268041237113,0.31958762886597936
59,c30_noise0.0_rep59,0.0,0.14432989690721648,0.17525773195876287,0.16494845360824742
60,c30_noise0.0_rep60,0.0,0.26804123711340205,0.27835051546391754,0.23711340206185566
61,c30_noise0.0_rep61,0.0,0.1958762886597938,0.25773195876288657,0.17525773195876287
62,c30_noise0.0_rep62,0.0,0.2268041237113402,0.27835051546391754,0.21649484536082475
63,c30_noise0.0_rep63,0.0,0.24742268041237114,0.3402061855670103,0.21649484536082475
64,c30_noise0.0_rep64,0.0,0.27835051546391754,0.31958762886597936,0.27835051546391754
65,c30_noise0.0_rep65,0.0,0.27835051546391754,0.44329896907216493,0.28865979381443296
66,c30_noise0.0_rep66,0.0,0.17525773195876287,0.30927835051546393,0.21649484536082475
67,c30_noise0.0_rep67,0.0,0.23711340206185566,0.26804123711340205,0.20618556701030927
68,c30_noise0.0_rep68,0.0,0.32989690721649484,0.422680412371134,0.28865979381443296
69,c30_noise0.0_rep69,0.0,0.14432989690721648,0.30927835051546393,0.13402061855670103
70,c30_noise0.0_rep70,0.0,0.32989690721649484,0.4329896907216495,0.3711340206185567
71,c30_noise0.0_rep71,0.0,0.17525773195876287,0.24742268041237114,0.18556701030927836
72,c30_noise0.0_rep72,0.0,0.16494845360824742,0.29896907216494845,0.17525773195876287
73,c30_noise0.0_rep73,0.0,0.3917525773195876,0.5773195876288659,0.3402061855670103
74,c30_noise0.0_rep74,0.0,0.3711340206185567,0.3711340206185567,0.32989690721649484
75,c30_noise0.0_rep75,0.0,0.32989690721649484,0.41237113402061853,0.27835051546391754
76,c30_noise0.0_rep76,0.0,0.23711340206185566,0.35051546391752575,0.1958762886597938
77,c30_noise0.0_rep77,0.0,0.1958762886597938,0.3711340206185567,0.16494845360824742
78,c30_noise0.0_rep78,0.0,0.23711340206185566,0.31958762886597936,0.21649484536082475
79,c30_noise0.0_rep79,0.0,0.21649484536082475,0.29896907216494845,0.2268041237113402
80,c30_noise0.0_rep80,0.0,0.14432989690721648,0.23711340206185566,0.14432989690721648
81,c30_noise0.0_rep81,0.0,0.29896907216494845,0.38144329896907214,0.25773195876288657
82,c30_noise0.0_rep82,0.0,0.44329896907216493,0.4536082474226804,0.41237113402061853
83,c30_noise0.0_rep83,0.0,0.20618556701030927,0.32989690721649484,0.16494845360824742
84,c30_noise0.0_rep84,0.0,0.14432989690721648,0.24742268041237114,0.16494845360824742
85,c30_noise0.0_rep85,0.0,0.3711340206185567,0.422680412371134,0.3402061855670103
86,c30_noise0.0_rep86,0.0,0.08247422680412371,0.15463917525773196,0.08247422680412371
87,c30_noise0.0_rep87,0.0,0.27835051546391754,0.3917525773195876,0.29896907216494845
88,c30_noise0.0_rep88,0.0,0.4845360824742268,0.5876288659793815,0.5154639175257731
89,c30_noise0.0_rep89,0.0,0.14432989690721648,0.2268041237113402,0.1134020618556701
90,c30_noise0.0_rep90,0.0,0.27835051546391754,0.36082474226804123,0.29896907216494845
91,c30_noise0.0_rep91,0.0,0.4742268041237113,0.4536082474226804,0.4020618556701031
92,c30_noise0.0_rep92,0.0,0.21649484536082475,0.24742268041237114,0.13402061855670103
93,c30_noise0.0_rep93,0.0,0.3711340206185567,0.4536082474226804,0.36082474226804123
94,c30_noise0.0_rep94,0.0,0.5670103092783505,0.6804123711340206,0.4948453608247423
95,c30_noise0.0_rep95,0.0,0.20618556701030927,0.31958762886597936,0.16494845360824742
96,c30_noise0.0_rep96,0.0,0.21649484536082475,0.30927835051546393,0.2268041237113402
97,c30_noise0.0_rep97,0.0,0.23711340206185566,0.29896907216494845,0.24742268041237114
98,c30_noise0.0_rep98,0.0,0.2268041237113402,0.28865979381443296,0.25773195876288657
99,c30_noise0.0_rep99,0.0,0.23711340206185566,0.27835051546391754,0.18556701030927836
100,c30_noise0.02_rep0,0.02,0.4329896907216495,0.4742268041237113,0.3402061855670103
101,c30_noise0.02_rep1,0.02,0.29896907216494845,0.27835051546391754,0.2268041237113402
102,c30_noise0.02_rep2,0.02,0.3711340206185567,0.35051546391752575,0.28865979381443296
103,c30_noise0.02_rep3,0.02,0.422680412371134,0.4020618556701031,0.26804123711340205
104,c30_noise0.02_rep4,0.02,0.27835051546391754,0.32989690721649484,0.14432989690721648
105,c30_noise0.02_rep5,0.02,0.32989690721649484,0.32989690721649484,0.20618556701030927
106,c30_noise0.02_rep6,0.02,0.36082474226804123,0.35051546391752575,0.23711340206185566
107,c30_noise0.02_rep7,0.02,0.5360824742268041,0.4948453608247423,0.41237113402061853
108,c30_noise0.02_rep8,0.02,0.4845360824742268,0.422680412371134,0.36082474226804123
109,c30_noise0.02_rep9,0.02,0.4536082474226804,0.4639175257731959,0.32989690721649484
110,c30_noise0.02_rep10,0.02,0.7010309278350515,0.6907216494845361,0.5567010309278351
111,c30_noise0.02_rep11,0.02,0.36082474226804123,0.4329896907216495,0.21649484536082475
112,c30_noise0.02_rep12,0.02,0.30927835051546393,0.30927835051546393,0.20618556701030927
113,c30_noise0.02_rep13,0.02,0.6288659793814433,0.5463917525773195,0.44329896907216493
114,c30_noise0.02_rep14,0.02,0.36082474226804123,0.38144329896907214,0.25773195876288657
115,c30_noise0.02_rep15,0.02,0.3402061855670103,0.35051546391752575,0.27835051546391754
116,c30_noise0.02_rep16,0.02,0.5360824742268041,0.5463917525773195,0.41237113402061853
117,c30_noise0.02_rep17,0.02,0.38144329896907214,0.3402061855670103,0.23711340206185566
118,c30_noise0.02_rep18,0.02,0.41237113402061853,0.31958762886597936,0.18556701030927836
119,c30_noise0.02_rep19,0.02,0.4948453608247423,0.4845360824742268,0.3917525773195876
120,c30_noise0.02_rep20,0.02,0.2268041237113402,0.2268041237113402,0.17525773195876287
121,c30_noise0.02_rep21,0.02,0.24742268041237114,0.24742268041237114,0.17525773195876287
122,c30_noise0.02_rep22,0.02,0.5876288659793815,0.4845360824742268,0.4948453608247423
123,c30_noise0.02_rep23,0.02,0.422680412371134,0.4329896907216495,0.18556701030927836
124,c30_noise0.02_rep24,0.02,0.31958762886597936,0.30927835051546393,0.20618556701030927
125,c30_noise0.02_rep25,0.02,0.5567010309278351,0.4845360824742268,0.4329896907216495
126,c30_noise0.02_rep26,0.02,0.29896907216494845,0.32989690721649484,0.2268041237113402
127,c30_noise0.02_rep27,0.02,0.5670103092783505,0.5567010309278351,0.44329896907216493
128,c30_noise0.02_rep28,0.02,0.4536082474226804,0.3917525773195876,0.20618556701030927
129,c30_noise0.02_rep29,0.02,0.5670103092783505,0.5360824742268041,0.41237113402061853
130,c30_noise0.02_rep30,0.02,0.4020618556701031,0.4020618556701031,0.2268041237113402
131,c30_noise0.02_rep31,0.02,0.38144329896907214,0.41237113402061853,0.26804123711340205
132,c30_noise0.02_rep32,0.02,0.6082474226804123,0.5567010309278351,0.4536082474226804
133,c30_noise0.02_rep33,0.02,0.38144329896907214,0.3711340206185567,0.2268041237113402
134,c30_noise0.02_rep34,0.02,0.4948453608247423,0.4329896907216495,0.3711340206185567
135,c30_noise0.02_rep35,0.02,0.32989690721649484,0.35051546391752575,0.28865979381443296
136,c30_noise0.02_rep36,0.02,0.32989690721649484,0.3917525773195876,0.21649484536082475
137,c30_noise0.02_rep37,0.02,0.3711340206185567,0.36082474226804123,0.25773195876288657
138,c30_noise0.02_rep38,0.02,0.44329896907216493,0.31958762886597936,0.25773195876288657
139,c30_noise0.02_rep39,0.02,0.7628865979381443,0.711340206185567,0.5773195876288659
140,c30_noise0.02_rep40,0.02,0.4845360824742268,0.3402061855670103,0.24742268041237114
141,c30_noise0.02_rep41,0.02,0.4845360824742268,0.4020618556701031,0.21649484536082475
142,c30_noise0.02_rep42,0.02,0.5567010309278351,0.5463917525773195,0.38144329896907214
143,c30_noise0.02_rep43,0.02,0.29896907216494845,0.31958762886597936,0.25773195876288657
144,c30_noise0.02_rep44,0.02,0.3917525773195876,0.3711340206185567,0.21649484536082475
145,c30_noise0.02_rep45,0.02,0.41237113402061853,0.25773195876288657,0.24742268041237114
146,c30_noise0.02_rep46,0.02,0.5257731958762887,0.4948453608247423,0.3711340206185567
147,c30_noise0.02_rep47,0.02,0.4020618556701031,0.41237113402061853,0.23711340206185566
148,c30_noise0.02_rep48,0.02,0.5670103092783505,0.5257731958762887,0.30927835051546393
149,c30_noise0.02_rep49,0.02,0.3402061855670103,0.32989690721649484,0.2268041237113402
150,c30_noise0.02_rep50,0.02,0.36082474226804123,0.36082474226804123,0.20618556701030927
151,c30_noise0.02_rep51,0.02,0.3917525773195876,0.36082474226804123,0.2268041237113402
152,c30_noise0.02_rep52,0.02,0.18556701030927836,0.25773195876288657,0.18556701030927836
153,c30_noise0.02_rep53,0.02,0.4020618556701031,0.3917525773195876,0.24742268041237114
154,c30_noise0.02_rep54,0.02,0.5154639175257731,0.4536082474226804,0.30927835051546393
155,c30_noise0.02_rep55,0.02,0.28865979381443296,0.32989690721649484,0.18556701030927836
156,c30_noise0.02_rep56,0.02,0.4742268041237113,0.4536082474226804,0.27835051546391754
157,c30_noise0.02_rep57,0.02,0.41237113402061853,0.4020618556701031,0.21649484536082475
158,c30_noise0.02_rep58,0.02,0.4948453608247423,0.4845360824742268,0.35051546391752575
159,c30_noise0.02_rep59,0.02,0.4020618556701031,0.30927835051546393,0.1958762886597938
160,c30_noise0.02_rep60,0.02,0.4948453608247423,0.38144329896907214,0.27835051546391754
161,c30_noise0.02_rep61,0.02,0.4329896907216495,0.32989690721649484,0.21649484536082475
162,c30_noise0.02_rep62,0.02,0.4536082474226804,0.36082474226804123,0.2268041237113402
163,c30_noise0.02_rep63,0.02,0.4329896907216495,0.4329896907216495,0.32989690721649484
164,c30_noise0.02_rep64,0.02,0.44329896907216493,0.422680412371134,0.28865979381443296
165,c30_noise0.02_rep65,0.02,0.4742268041237113,0.4948453608247423,0.3402061855670103
166,c30_noise0.02_rep66,0.02,0.422680412371134,0.422680412371134,0.26804123711340205
167,c30_noise0.02_rep67,0.02,0.44329896907216493,0.38144329896907214,0.29896907216494845
168,c30_noise0.02_rep68,0.02,0.44329896907216493,0.44329896907216493,0.3917525773195876
169,c30_noise0.02_rep69,0.02,0.3402061855670103,0.35051546391752575,0.18556701030927836
170,c30_noise0.02_rep70,0.02,0.5051546391752577,0.4536082474226804,0.4329896907216495
171,c30_noise0.02_rep71,0.02,0.38144329896907214,0.38144329896907214,0.2268041237113402
172,c30_noise0.02_rep72,0.02,0.41237113402061853,0.38144329896907214,0.21649484536082475
173,c30_noise0.02_rep73,0.02,0.6494845360824743,0.6185567010309279,0.4536082474226804
174,c30_noise0.02_rep74,0.02,0.5257731958762887,0.422680412371134,0.3711340206185567
175,c30_noise0.02_rep75,0.02,0.44329896907216493,0.4020618556701031,0.28865979381443296
176,c30_noise0.02_rep76,0.02,0.41237113402061853,0.3917525773195876,0.25773195876288657
177,c30_noise0.02_rep77,0.02,0.4948453608247423,0.3917525773195876,0.26804123711340205
178,c30_noise0.02_rep78,0.02,0.422680412371134,0.3711340206185567,0.25773195876288657
179,c30_noise0.02_rep79,0.02,0.4742268041237113,0.4020618556701031,0.27835051546391754
180,c30_noise0.02_rep80,0.02,0.24742268041237114,0.27835051546391754,0.13402061855670103
181,c30_noise0.02_rep81,0.02,0.4329896907216495,0.44329896907216493,0.3711340206185567
182,c30_noise0.02_rep82,0.02,0.5463917525773195,0.5154639175257731,0.4329896907216495
183,c30_noise0.02_rep83,0.02,0.3402061855670103,0.41237113402061853,0.1958762886597938
184,c30_noise0.02_rep84,0.02,0.32989690721649484,0.32989690721649484,0.23711340206185566
185,c30_noise0.02_rep85,0.02,0.5567010309278351,0.5360824742268041,0.4020618556701031
186,c30_noise0.02_rep86,0.02,0.25773195876288657,0.25773195876288657,0.14432989690721648
187,c30_noise0.02_rep87,0.02,0.44329896907216493,0.4639175257731959,0.27835051546391754
188,c30_noise0.02_rep88,0.02,0.7319587628865979,0.6185567010309279,0.5876288659793815
189,c30_noise0.02_rep89,0.02,0.26804123711340205,0.24742268041237114,0.14432989690721648
190,c30_noise0.02_rep90,0.02,0.5154639175257731,0.4948453608247423,0.30927835051546393
191,c30_noise0.02_rep91,0.02,0.5257731958762887,0.5154639175257731,0.44329896907216493
192,c30_noise0.02_rep92,0.02,0.3917525773195876,0.3402061855670103,0.18556701030927836
193,c30_noise0.02_rep93,0.02,0.5876288659793815,0.4742268041237113,0.36082474226804123
194,c30_noise0.02_rep94,0.02,0.6907216494845361,0.7319587628865979,0.6082474226804123
195,c30_noise0.02_rep95,0.02,0.3711340206185567,0.36082474226804123,0.2268041237113402
196,c30_noise0.02_rep96,0.02,0.41237113402061853,0.44329896907216493,0.28865979381443296
197,c30_noise0.02_rep97,0.02,0.422680412371134,0.35051546391752575,0.30927835051546393
198,c30_noise0.02_rep98,0.02,0.4329896907216495,0.35051546391752575,0.25773195876288657
199,c30_noise0.02_rep99,0.02,0.3711340206185567,0.36082474226804123,0.2268041237113402
200,c30_noise0.04_rep0,0.04,0.5360824742268041,0.4948453608247423,0.31958762886597936
201,c30_noise0.04_rep1,0.04,0.4742268041237113,0.36082474226804123,0.21649484536082475
202,c30_noise0.04_rep2,0.04,0.41237113402061853,0.3917525773195876,0.27835051546391754
203,c30_noise0.04_rep3,0.04,0.41237113402061853,0.3711340206185567,0.25773195876288657
204,c30_noise0.04_rep4,0.04,0.3917525773195876,0.35051546391752575,0.2268041237113402
205,c30_noise0.04_rep5,0.04,0.3711340206185567,0.26804123711340205,0.25773195876288657
206,c30_noise0.04_rep6,0.04,0.5154639175257731,0.422680412371134,0.28865979381443296
207,c30_noise0.04_rep7,0.04,0.4948453608247423,0.4639175257731959,0.3917525773195876
208,c30_noise0.04_rep8,0.04,0.5567010309278351,0.4329896907216495,0.3711340206185567
209,c30_noise0.04_rep9,0.04,0.6082474226804123,0.5567010309278351,0.4639175257731959
210,c30_noise0.04_rep10,0.04,0.711340206185567,0.7525773195876289,0.5876288659793815
211,c30_noise0.04_rep11,0.04,0.5257731958762887,0.5257731958762887,0.3402061855670103
212,c30_noise0.04_rep12,0.04,0.36082474226804123,0.31958762886597936,0.2268041237113402
213,c30_noise0.04_rep13,0.04,0.6494845360824743,0.5876288659793815,0.5154639175257731
214,c30_noise0.04_rep14,0.04,0.44329896907216493,0.41237113402061853,0.23711340206185566
215,c30_noise0.04_rep15,0.04,0.41237113402061853,0.35051546391752575,0.29896907216494845
216,c30_noise0.04_rep16,0.04,0.6391752577319587,0.6494845360824743,0.5051546391752577
217,c30_noise0.04_rep17,0.04,0.4948453608247423,0.3917525773195876,0.2268041237113402
218,c30_noise0.04_rep18,0.04,0.4536082474226804,0.3917525773195876,0.28865979381443296
219,c30_noise0.04_rep19,0.04,0.5051546391752577,0.4742268041237113,0.3711340206185567
220,c30_noise0.04_rep20,0.04,0.32989690721649484,0.26804123711340205,0.15463917525773196
221,c30_noise0.04_rep21,0.04,0.29896907216494845,0.23711340206185566,0.17525773195876287
222,c30_noise0.04_rep22,0.04,0.6082474226804123,0.5567010309278351,0.4536082474226804
223,c30_noise0.04_rep23,0.04,0.5463917525773195,0.5360824742268041,0.30927835051546393
224,c30_noise0.04_rep24,0.04,0.4329896907216495,0.32989690721649484,0.16494845360824742
225,c30_noise0.04_rep25,0.04,0.6391752577319587,0.5979381443298969,0.4845360824742268
226,c30_noise0.04_rep26,0.04,0.31958762886597936,0.3711340206185567,0.23711340206185566
227,c30_noise0.04_rep27,0.04,0.6288659793814433,0.5567010309278351,0.4639175257731959
228,c30_noise0.04_rep28,0.04,0.5257731958762887,0.3917525773195876,0.27835051546391754
229,c30_noise0.04_rep29,0.04,0.6288659793814433,0.6288659793814433,0.4845360824742268
230,c30_noise0.04_rep30,0.04,0.4845360824742268,0.4020618556701031,0.20618556701030927
231,c30_noise0.04_rep31,0.04,0.5051546391752577,0.4742268041237113,0.28865979381443296
